Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,USD,NVDA,"2022-05-28, 04:09:58",1.3289,185.86505,188.11,-246.996065,-0.34842303,247.344488,0,2.9833,FPA;O;P
Trades,Data,Order,Stocks,USD,NVDA,"2022-06-08, 01:02:04",1.5675,188.1927604,189.26,-294.992152,-0.34847075,295.3406228,0,1.6729,FPA;O;P;RPA
Trades,Data,Order,Stocks,USD,NVDA,"2023-05-25, 23:31:41",-0.7,378.97,379.8,265.279,-0.352620982,-130.35285,134.573529,-0.581,C;FP
Trades,Data,Order,Stocks,USD,NVDA,"2023-05-25, 23:34:39",-0.4,374.73,379.8,149.892,-0.351594386,-74.450527,75.089878,-2.028,C;FP
Trades,Data,Order,Stocks,USD,NVDA,"2023-05-25, 23:56:14",-0.3,378.96,379.8,113.688,-0.351270254,-55.946899,57.389831,-0.252,C;FP
